ml_1,mAU_1,ml_2,mAU_2
0.296603,0.374137,0.2967,0.405893
0.297228,0.373387,0.297325,0.405686
0.297852,0.372362,0.29795,0.406008
0.298477,0.370992,0.298574,0.406237
0.299102,0.371328,0.299199,0.406238
0.299726,0.371659,0.299823,0.40634
0.300351,0.370762,0.300448,0.40641
0.300975,0.369749,0.301072,0.40684
0.3016,0.369713,0.301697,0.406996
0.302224,0.369817,0.302321,0.406746
0.302849,0.369976,0.302946,0.40636
0.303473,0.369983,0.30357,0.405696
0.304098,0.370269,0.304195,0.405275
0.304722,0.37097,0.30482,0.405577
0.305347,0.37116,0.305444,0.405123
0.305972,0.370755,0.306069,0.403768
0.306596,0.371189,0.306693,0.402818
0.307221,0.371806,0.307318,0.402107
0.307845,0.371683,0.307942,0.401705
0.30847,0.371603,0.308567,0.401016
0.309094,0.371434,0.309191,0.400209
0.309719,0.371537,0.309816,0.400216
0.310343,0.371333,0.31044,0.399957
0.310968,0.371658,0.311065,0.399357
0.311592,0.372451,0.31169,0.39889
0.312217,0.372841,0.312314,0.398066
0.312842,0.373172,0.312939,0.397616
0.313466,0.373304,0.313563,0.397299
0.314091,0.372687,0.314188,0.397775
0.314715,0.372499,0.314812,0.397637
0.31534,0.371956,0.315437,0.397183
0.315964,0.37128,0.316061,0.39652
0.316589,0.371219,0.316686,0.395934
0.317213,0.37096,0.317311,0.395173
0.317838,0.371097,0.317935,0.394441
0.318462,0.371652,0.31856,0.393831
0.319087,0.371769,0.319184,0.393053
0.319711,0.371391,0.319809,0.392497
0.320336,0.371471,0.320433,0.392754
0.320961,0.372457,0.321058,0.391828
0.321585,0.373452,0.321682,0.391451
0.32221,0.373682,0.322307,0.39142
0.322834,0.3735,0.322931,0.391245
0.323459,0.373571,0.323556,0.391739
0.324083,0.373972,0.324181,0.392604
0.324708,0.373992,0.324805,0.392681
0.325332,0.373269,0.32543,0.392937
0.325957,0.372769,0.326054,0.39328
0.326581,0.373285,0.326679,0.392739
0.327206,0.373879,0.327303,0.392381
0.327831,0.373969,0.327928,0.392138
0.328455,0.3747,0.328552,0.391923
0.32908,0.375288,0.329177,0.391309
0.329704,0.37615,0.329801,0.390492
0.330329,0.375798,0.330426,0.390275
0.330953,0.375404,0.331051,0.390401
0.331578,0.37615,0.331675,0.390296
0.332202,0.376146,0.3323,0.390039
0.332827,0.376475,0.332924,0.389592
0.333451,0.376587,0.333549,0.389819
0.334076,0.377093,0.334173,0.39027
0.334701,0.378004,0.334798,0.390306
0.335325,0.378219,0.335422,0.390006
0.33595,0.378038,0.336047,0.389709
0.336574,0.377561,0.336671,0.389733
0.337199,0.377488,0.337296,0.390451
0.337823,0.376786,0.337921,0.391416
0.338448,0.375782,0.338545,0.392452
0.339072,0.374936,0.33917,0.393003
0.339697,0.374875,0.339794,0.392509
0.340321,0.374964,0.340419,0.392357
0.340946,0.3748,0.341043,0.392252
0.341571,0.374427,0.341668,0.391327
0.342195,0.374544,0.342292,0.39065
0.34282,0.374209,0.342917,0.390743
0.343444,0.374039,0.343541,0.391112
0.344069,0.374282,0.344166,0.391127
0.344693,0.374151,0.344791,0.390905
0.345318,0.374858,0.345415,0.390722
0.345942,0.374395,0.34604,0.390438
0.346567,0.374669,0.346664,0.39088
0.347191,0.375753,0.347289,0.391492
0.347816,0.377124,0.347913,0.391881
0.34844,0.377854,0.348538,0.392262
0.349065,0.378166,0.349162,0.392335
0.34969,0.378642,0.349787,0.392912
0.350314,0.377733,0.350411,0.392747
0.350939,0.376679,0.351036,0.392254
0.351563,0.376654,0.351661,0.3923
0.352188,0.376607,0.352285,0.392351
0.352812,0.376475,0.35291,0.392024
0.353437,0.376205,0.353534,0.391695
0.354061,0.375924,0.354159,0.39137
0.354686,0.375574,0.354783,0.391178
0.35531,0.37509,0.355408,0.390736
0.355935,0.37528,0.356032,0.389907
0.35656,0.376042,0.356657,0.389342
0.357184,0.376964,0.357281,0.388695
0.357809,0.376987,0.357906,0.388202
0.358433,0.376443,0.358531,0.388296
0.359058,0.375627,0.359155,0.388364
